Model,Hand,Year,Price,Engine,Kilometers,EngineType,GearBox,Color
מאזדה 2,3,2013,לאצויןמחיר,1498,"105,000",בנזין,אוטומט,שחור
דייהטסו טריוס,2,2008,"30,900₪",1495,"198,000",בנזין,אוטומט,אפורמטאלי
יונדאי סונטה הייבריד,1,2021,"159,000₪",1999,"17,000",בנזין,אוטומט,אפורמטאלי
מרצדס GLC-Class קופה,1,2021,"437,500₪",1991,"9,300",היברידיחשמל/בנזין,אוטומט,לבןמטאלי
סיאט לאון,2,2017,"92,900₪",1395,"78,764",בנזין,אוטומט,לבןמטאלי
מאזדה 3,1,2019,לאצויןמחיר,1496,"21,000",בנזין,אוטומט,כסוף
מרצדס C-Class קופה,3,2014,"129,900₪",1595,"109,000",בנזין,אוטומט,כסוף
מאזדה 3,3,2018,"82,000₪",1998,"100,000",בנזין,אוטומט,לבןמטאלי
מאזדה 5,3,2011,"41,000₪",1999,"134,000",בנזין,אוטומט,שחורמטאלי
סיאט לאון,1,2018,"188,000₪",1984,"63,000",בנזין,אוטומט,אדום
לקסוס RX350,2,2010,"75,000₪",3456,"211,000",בנזין,אוטומט,כסוף
לקסוס RX350,1,2018,"250,000₪",3456,"60,000",בנזין,אוטומט,לבןפנינה
לנד רובר דיסקברי 5,1,2017,"340,000₪",2995,"135,000",דיזל,אוטומט,ברונזהמטאלי
קיה ספורטז',1,2021,"135,500₪",1999,"11,500",בנזין,אוטומט,לבן
פולקסווגן טיגואן,1,2019,"160,000₪",1498,"36,000",בנזין,אוטומט,שחור
סוזוקי ויטרה,1,2017,"95,000₪",1586,"93,500",בנזין,אוטומט,אדום
לקסוס RX450H,1,2014,"129,000₪",3456,"130,000",בנזין,אוטומט,אפורמטאלי
יונדאי iX35,1,2013,"66,000₪",1998,"126,000",בנזין,אוטומט,שחור
מאזדה CX-5,1,2018,"132,500₪",1998,"60,000",בנזין,אוטומט,לבן
יונדאי סנטה פה,2,2015,"125,000₪",2199,"125,000",דיזל,אוטומט,אפורמטאלי
ב.מ.וו X3,1,2017,"170,000₪",1997,"103,000",בנזין,אוטומט,כסףמטלי
קאדילק XT5,1,2018,"205,000₪",3649,"57,000",בנזין,אוטומט,כסוףמטאלי
ב.מ.וו X3,3,2017,לאצויןמחיר,1997,"50,000",בנזין,אוטומט,לבןפנינה
ג'יפ / Jeep רנגלר רוביקון,2,2021,"465,000₪",2987,"10,000",דיזל,אוטומט,שחור
