Model,Hand,Year,Price,Engine,Kilometers,EngineType,GearBox,Color
פורד קוגה,1,2018,"115,000₪",1498,"39,000",בנזין,אוטומט,אדוםמטאלי
טויוטה ספייס ורסו,1,2013,"40,000₪",1329,"81,000",בנזין,אוטומט,תכלתמטאלי
אאודי Q3,2,2017,"148,000₪",1984,"41,250",בנזין,אוטומט,שחור
מרצדס B-Class Taxi,1,2016,"48,000₪",2143,"334,000",דיזל,אוטומט,לבןשנהב
טויוטה RAV4 ארוך,2,2019,"199,000₪",1987,"41,000",בנזין,אוטומט,לבן
יונדאי קונה,1,2018,"92,000₪",1591,"40,000",בנזין,אוטומט,לבןמטאלי
ב.מ.וו סדרה 5,2,2019,לאצויןמחיר,1998,"32,000",היברידיחשמל/בנזין,אוטומט,לבןפנינה
פולקסווגן פולו,2,2016,"62,500₪",1197,"103,000",בנזין,אוטומט,לבן
פולקסווגן ג'טה,3,2011,"35,000₪",1390,"127,000",בנזין,אוטומט,אפורעכבר
סקודה סופרב (עד 2019) ,2,2010,"32,000₪",1798,"200,019",בנזין,אוטומט,אפורעכבר
סובארו B3 האצ'בק,4,2010,"16,000₪",1498,"164,400",בנזין,אוטומט,ירוקמטאלי
קיה אופטימה / Optima,3,2013,"30,000₪",1685,"170,000",דיזל,אוטומט,לבןפנינה
ניסאן מקסימה,3,2015,"66,000₪",3498,"168,000",בנזין,אוטומט,לבן
הונדה סיוויק האצ'בק החדשה,2,2015,"48,000₪",1798,"170,000",בנזין,אוטומט,אפורעכבר
מיני קופר,1,2021,"235,000₪",1998,12,בנזין,אוטומט,אדום
קיה סיד / CEED,2,2016,"41,900₪",1591,"145,000",בנזין,אוטומט,אפורעכבר
שברולט קרוז,3,2013,"22,500₪",1598,"148,000",בנזין,אוטומט,בז'מטאלי
טויוטה קאמרי,2,2015,"78,000₪",2494,"174,000",בנזין,אוטומט,לבןפנינה
סיאט טולדו,1,2017,"52,500₪",1395,"89,000",בנזין,אוטומט,פלטינה
ניסאן מיקרה,2,2011,"20,000₪",1198,"153,000",בנזין,אוטומט,כתום
ג'יפ / Jeep רנגלר רוביקון,0,2021,4500₪לחודש,2987,,דיזל,אוטומט,אדוםמטאלי
טויוטה פרואייס,1,2018,"114,000₪",1997,"146,000",דיזל,ידנית,לבן
טויוטה קורולה הייבריד,1,2019,"107,000₪",1798,"83,000",בנזין,אוטומט,לבן
טויוטה קורולה,1,2018,"72,000₪",1598,"197,000",בנזין,אוטומט,לבן
סוזוקי בלנו,1,2017,"54,500₪",1242,"88,000",בנזין,אוטומט,לבןפנינה
יונדאי טוסון,1,2018,"131,900₪",1999,"34,000",בנזין,אוטומט,כסוףמטאלי
אינפיניטי QX70 / FX37,4,2013,"88,000₪",3696,"235,000",בנזין,אוטומט,שחורמטאלי
רנו מגאן קופה / ספורט,6,2014,"30,000₪",1197,"159,000",בנזין,ידנית,לבןפנינה
פיג'ו 2008,1,2016,"43,000₪",1598,"95,000",בנזין,אוטומט,לבןפנינה
מאזדה CX-5,1,2019,לאצויןמחיר,1998,"28,000",בנזין,אוטומט,אפורמטאלי
קיה ספורטז',1,2017,"81,900₪",1591,"88,000",בנזין,אוטומט,אפורעכבר
יונדאי i10,2,2016,"35,000₪",998,"59,492",בנזין,ידנית,שחור
סיאט איביזה,2,2017,"45,000₪",999,"117,800",בנזין,אוטומט,לבן
יונדאי טוסון,1,2020,לאצויןמחיר,1591,"21,000",בנזין,אוטומט,שחור
קיה ספורטז',3,2011,"43,000₪",1998,"156,000",בנזין,אוטומט,כתום
סקודה אוקטביה,1,2022,"170,000₪",1498,"1,000",בנזין,אוטומט,לבןמטאלי
סוזוקי SX4 קרוסאובר,1,2018,"99,999₪",1373,"21,000",בנזין,אוטומט,לבן
פיאט 500C,3,2011,"21,000₪",1242,"158,000",בנזין,ידנית,קרם
הונדה ג'אז הייבריד,2,2014,"48,000₪",1339,"177,000",בנזין,אוטומט,לבןפנינה
מרצדס E-Class,2,2018,"210,000₪",1950,"159,000",דיזל,אוטומט,לבן
מאזדה 6,2,2008,"22,000₪",1999,"167,000",בנזין,אוטומט,סגולחציל
שברולט אבאו,4,2008,"9,500₪",1399,"176,000",בנזין,אוטומט,כסףמטלי
פיג'ו 308,2,2015,"25,000₪",1199,"165,000",בנזין,אוטומט,שחור
סוזוקי ג'ימני,1,2020,"157,000₪",1462,"18,600",בנזין,אוטומט,לבןפנינה
מיצובישי L200 האנטר 2X4,2,2015,"81,000₪",2477,"262,000",דיזל,אוטומט,לבןפנינה
ניסאן קשקאי,2,2016,"72,000₪",1197,"69,500",בנזין,אוטומט,שחור
קיה ספורטז',1,2009,"39,000₪",2656,"110,000",בנזין,אוטומט,שחור
סיאט איביזה,3,2011,"21,500₪",1197,"177,000",בנזין,אוטומט,בורדומטאלי
סקודה אוקטביה,1,2021,"165,000₪",1498,"10,800",בנזין,אוטומט,לבן
סקודה אוקטביה,2,2013,"27,000₪",1197,"145,000",בנזין,אוטומט,אפורמטאלי
מרצדס E-Class,0,2022,לאצויןמחיר,1991,,היברידיחשמל/בנזין,אוטומט,לבןשנהב
מרצדס GLC-Class קופה,0,2021,"464,900₪",1991,,היברידיחשמל/בנזין,אוטומט,אפורמטאלי
מיצובישי אקליפס קרוס,1,2019,"135,000₪",1499,"25,000",בנזין,אוטומט,לבןמטאלי
סובארו B4,3,2013,"35,000₪",1995,"195,000",בנזין,אוטומט,לבןפנינה
יונדאי טוסון,0,2021,לאצויןמחיר,1598,,בנזין,אוטומט,לבןפנינה
קיה ספורטז',3,2018,"89,900₪",1591,"19,000",בנזין,אוטומט,שחורמטאלי
ניסאן אקס טרייל,1,2019,לאצויןמחיר,1598,"40,000",דיזל,אוטומט,שחורמטאלי
איסוזו 2X4 D-MAX,5,2007,"42,000₪",2999,"265,000",דיזל,אוטומט,לבן
אם. ג'י. / MG ZS,1,2020,"85,000₪",999,"38,000",בנזין,אוטומט,שחורמטאלי
טויוטה אוריס הייבריד,1,2018,"88,000₪",1798,"72,000",בנזין,אוטומט,כסוף
ג'יפ / Jeep גרנד צ'ירוקי,1,2012,"119,000₪",3604,"200,000",בנזין,אוטומט,אפור
יגואר F-Pace,1,2021,"425,000₪",1997,"1,300",בנזין,אוטומט,שחורמטאלי
יונדאי טוסון,0,2022,"224,900₪",1598,,דיזל,אוטומט,אפורעכבר
איווקו דיילי החדשה,1,2018,לאצויןמחיר,2998,,טורבודיזל,אוטומט,לבן
סיאט איביזה,3,2011,"21,500₪",1197,"177,000",בנזין,אוטומט,בורדומטאלי
סקודה אוקטביה,1,2021,"165,000₪",1498,"10,800",בנזין,אוטומט,לבן
פולקסווגן גולף GTI,4,2012,"90,000₪",1984,"95,700",בנזין,ידנית,שחורמטאלי
טויוטה קורולה,2,2013,"48,000₪",1598,"94,000",בנזין,אוטומט,לבןמטאלי
סוזוקי סוויפט,3,2008,"28,000₪",1490,128,בנזין,אוטומט,כסףמטלי
סיאט איביזה,2,2011,"22,500₪",1390,"148,500",בנזין,ידנית,לבן
פורשה קאיין,3,2014,לאצויןמחיר,2967,179,דיזל,אוטומט,לבן
פורד קוגה,2,2017,"90,000₪",1498,"70,000",בנזין,אוטומט,אפורמטאלי
פיאט דובלו,3,2016,"45,000₪",1598,"216,000",דיזל,ידנית,לבןפנינה
פיג'ו 107,2,2014,"15,000₪",998,"172,000",בנזין,רובוטית,אפורמטאלי
סיאט אטקה,2,2017,"110,000₪",1395,"31,000",בנזין,אוטומט,שחורמטאלי
שברולט טראוורס,1,2021,"270,000₪",3564,"6,500",בנזין,אוטומט,שחורמטאלי
סיטרואן C4 קקטוס,1,2016,"24,900₪",1199,"163,000",בנזין,ידנית,אפורעכבר
ג'יפ / Jeep גרנד צ'ירוקי,5,2013,"99,000₪",2987,"199,600",דיזל,אוטומט,לבן
שברולט קרוז,3,2011,"19,000₪",1796,"130,000",בנזין,אוטומט,שחורמטאלי
אלפא רומיאו 159,5,2011,"35,000₪",2198,"160,000",בנזין,אוטומט,לבן
פיג'ו 2008,1,2016,"47,000₪",1199,"99,000",בנזין,אוטומט,פלטינה
יונדאי i25,2,2017,"65,000₪",1591,"49,000",בנזין,אוטומט,כחולבהירמטאלי
ג'יפ / Jeep רנגלר קצר,2,2021,לאצויןמחיר,1995,"24,000",בנזין,אוטומט,שחור
פיג'ו 308,1,2017,"120,000₪",1598,"50,000",בנזין,ידנית,אדוםמטאלי
סיאט אטקה,0,2022,1300₪לחודש,1498,,בנזין,אוטומט,אפורמטאלי
קאדילק ATS,2,2019,לאצויןמחיר,3564,"46,000",בנזין,אוטומט,לבןפנינה
פולקסווגן חיפושית החדשה,2,2015,"81,800₪",1197,"81,000",בנזין,אוטומט,לבןמטאלי
מרצדס E-Class,1,2020,"349,000₪",1991,"30,000",היברידיחשמל/בנזין,אוטומט,שחור
אופל אסטרה,2,2015,"29,900₪",1364,"120,000",בנזין,אוטומט,כחולכההמטאלי
יונדאי טוסון,2,2016,"98,000₪",1999,"80,000",בנזין,אוטומט,לבןפנינה
ב.מ.וו X4,0,2022,"699,000₪",2993,,בנזין,אוטומט,אפורעכבר
מרצדס GLE קופה,0,2022,לאצויןמחיר,2999,,בנזין,אוטומט,לבןפנינה
פולקסווגן גולף GTI,3,2015,לאצויןמחיר,1984,"85,000",בנזין,ידנית,לבן
מאזדה 3,2,2018,1100₪לחודש,1998,"34,000",בנזין,אוטומט,לבן
פיאט 500,3,2017,"38,000₪",1242,"68,000",בנזין,אוטומט,לבן
מרצדס E-Class,1,2018,"284,900₪",1991,"38,000",היברידיחשמל/בנזין,אוטומט,שחורמטאלי
פיאט דוקאטו ארוך,1,2016,לאצויןמחיר,2287,"121,000",טורבודיזל,ידנית,
דודג' ראם קצר,1,2018,"129,000₪",6700,"174,000",דיזל,אוטומט,לבןמטאלי
רנו קוליאוס,1,2021,לאצויןמחיר,1995,"28,000",דיזל,אוטומט,אפורעכבר
ג'יפ / Jeep גרנד צ'ירוקי,5,2013,"99,000₪",2987,"199,600",דיזל,אוטומט,לבן
שברולט קרוז,3,2011,"19,000₪",1796,"130,000",בנזין,אוטומט,שחורמטאלי
אלפא רומיאו 159,5,2011,"35,000₪",2198,"160,000",בנזין,אוטומט,לבן
פיג'ו 2008,1,2016,"47,000₪",1199,"99,000",בנזין,אוטומט,פלטינה
יונדאי i25,2,2017,"65,000₪",1591,"49,000",בנזין,אוטומט,כחולבהירמטאלי
מרצדס C-Class Taxi,1,2020,לאצויןמחיר,1597,"95,000",דיזל,אוטומט,לבןשנהב
קיה פיקנטו,1,2011,"36,000₪",1248,"88,000",בנזין,אוטומט,כסוף
ג'יפ / Jeep פטריוט,4,2008,"22,000₪",2359,"192,320",בנזין,אוטומט,שחור
מרצדס E-Class,1,2020,"380,000₪",1991,"18,000",היברידיחשמל/בנזין,אוטומט,כסףמטלי
מיצובישי אאוטלנדר,1,2017,"118,000₪",1998,"90,000",בנזין,אוטומט,לבן
מיצובישי אאוטלנדר PHEV,1,2014,לאצויןמחיר,1998,"150,000",היברידיחשמל/בנזין,אוטומט,תכלתמטאלי
דאצ'יה סנדרו Stepway,2,2017,"43,999₪",898,"142,855",בנזין,אוטומט,כסוףמטאלי
ניסאן מיקרה,1,2018,"39,000₪",1198,105,בנזין,ידנית,לבןמטאלי
סובארו אימפרזה החדשה,1,2017,"75,000₪",1995,"40,000",בנזין,אוטומט,אפור
יונדאי טוסון,3,2010,"35,000₪",2656,"151,000",בנזין,אוטומט,לבן
ניסאן ג'וק / Juke,2,2011,"31,999₪",1598,"114,000",בנזין,אוטומט,לבן
סובארו XV,1,2015,"64,000₪",1600,"102,000",בנזין,אוטומט,לבןמטאלי
אאודי Q2,2,2020,"178,000₪",1498,"15,000",בנזין,אוטומט,שחור
סיאט אטקה,0,2022,1300₪לחודש,1498,,בנזין,אוטומט,אפורמטאלי
קאדילק ATS,2,2019,לאצויןמחיר,3564,"46,000",בנזין,אוטומט,לבןפנינה
פולקסווגן חיפושית החדשה,2,2015,"81,800₪",1197,"81,000",בנזין,אוטומט,לבןמטאלי
מרצדס E-Class,1,2020,"349,000₪",1991,"30,000",היברידיחשמל/בנזין,אוטומט,שחור
אופל אסטרה,2,2015,"29,900₪",1364,"120,000",בנזין,אוטומט,כחולכההמטאלי
יונדאי טוסון,2,2016,"98,000₪",1999,"80,000",בנזין,אוטומט,לבןפנינה
ב.מ.וו X4,0,2022,"699,000₪",2993,,בנזין,אוטומט,אפורעכבר
מרצדס GLE קופה,0,2022,לאצויןמחיר,2999,,בנזין,אוטומט,לבןפנינה
פולקסווגן גולף GTI,3,2015,לאצויןמחיר,1984,"85,000",בנזין,ידנית,לבן
מאזדה 3,2,2018,1100₪לחודש,1998,"34,000",בנזין,אוטומט,לבן
פיאט 500,3,2017,"38,000₪",1242,"68,000",בנזין,אוטומט,לבן
מרצדס E-Class,1,2018,"284,900₪",1991,"38,000",היברידיחשמל/בנזין,אוטומט,שחורמטאלי
פיאט דוקאטו ארוך,1,2016,לאצויןמחיר,2287,"121,000",טורבודיזל,ידנית,
דודג' ראם קצר,1,2018,"129,000₪",6700,"174,000",דיזל,אוטומט,לבןמטאלי
רנו קוליאוס,1,2021,לאצויןמחיר,1995,,,,
וולוו XC60,1,2017,לאצויןמחיר,1969,"115,000",בנזין,אוטומט,לבןמטאלי
ג'יפ / Jeep רנגלר ארוך,1,2021,לאצויןמחיר,1995,,בנזין,אוטומט,שחורמטאלי
אאודי Q2,2,2020,"178,000₪",1498,"15,000",בנזין,אוטומט,שחור
סיאט איביזה,2,2013,"30,000₪",1197,"161,000",בנזין,אוטומט,לבןפנינה
אופל אסטרה,3,2015,"32,000₪",1364,"96,000",בנזין,אוטומט,אפורעכבר
ב.מ.וו סדרה 1,4,2012,"60,000₪",1995,"98,000",בנזין,אוטומט,כסוףמטאלי
מאזדה CX-5,3,2013,"75,000₪",1998,"112,000",בנזין,אוטומט,כסוףמטאלי
אאודי A4,1,2019,"187,000₪",1984,"35,000",בנזין,אוטומט,שחורמטאלי
מאזדה CX-5,2,2021,"165,000₪",1998,"4,100",בנזין,אוטומט,לבןפנינה
קאדילק CTS,2,2008,"29,000₪",2792,"110,000",בנזין,אוטומט,שחורמטאלי
ניסאן אקס טרייל,1,2019,"139,000₪",1332,"87,000",בנזין,אוטומט,לבןפנינה
פיג'ו 308,7,2009,"8,500₪",1598,"150,000",בנזין,אוטומט,לבן
סקודה קודיאק,1,2019,"200,000₪",1984,"56,000",בנזין,אוטומט,אפורמטאלי
אאודי Q7,4,2015,"199,000₪",2967,"135,000",דיזל,אוטומט,לבןפנינה
אאודי Q5,4,2015,"110,000₪",1984,"92,000",בנזין,אוטומט,לבןשנהב
שברולט טראוורס,2,2016,"122,000₪",3564,"97,300",בנזין,אוטומט,לבן
יונדאי טוסון,2,2015,לאצויןמחיר,1999,"64,000",בנזין,אוטומט,קרם
מאזדה 5,2,2007,"17,500₪",1999,"211,500",בנזין,אוטומט,לבןמטאלי
סוזוקי ג'ימני,1,2020,"140,000₪",1462,"13,000",בנזין,אוטומט,ירוקבהיר
רנו קליאו דור 4 (2013-2019),3,2013,"29,900₪",1197,"126,000",בנזין,אוטומט,אדום
פיג'ו 308,1,2017,"120,000₪",1598,"50,000",בנזין,ידנית,אדוםמטאלי
סיאט אטקה,0,2022,1300₪לחודש,1498,,בנזין,אוטומט,אפורמטאלי
קאדילק ATS,2,2019,לאצויןמחיר,3564,"46,000",בנזין,אוטומט,לבןפנינה
פולקסווגן חיפושית החדשה,2,2015,"81,800₪",1197,"81,000",בנזין,אוטומט,לבןמטאלי
מרצדס E-Class,1,2020,"349,000₪",1991,"30,000",היברידיחשמל/בנזין,אוטומט,שחור
אופל אסטרה,2,2015,"29,900₪",1364,"120,000",בנזין,אוטומט,כחולכההמטאלי
יונדאי טוסון,2,2016,"98,000₪",1999,"80,000",בנזין,אוטומט,לבןפנינה
ב.מ.וו X4,0,2022,"699,000₪",2993,,בנזין,אוטומט,אפורעכבר
מרצדס GLE קופה,0,2022,לאצויןמחיר,2999,,בנזין,אוטומט,לבןפנינה
פולקסווגן גולף GTI,3,2015,לאצויןמחיר,1984,"85,000",בנזין,ידנית,לבן
מאזדה 3,2,2018,1100₪לחודש,1998,"34,000",בנזין,אוטומט,לבן
פיאט 500,3,2017,"38,000₪",1242,"68,000",בנזין,אוטומט,לבן
מרצדס E-Class,1,2018,"284,900₪",1991,"38,000",היברידיחשמל/בנזין,אוטומט,שחורמטאלי
פיאט דוקאטו ארוך,1,2016,לאצויןמחיר,2287,"121,000",טורבודיזל,ידנית,
דודג' ראם קצר,1,2018,"129,000₪",6700,"174,000",דיזל,אוטומט,לבןמטאלי
רנו קוליאוס,1,2021,לאצויןמחיר,1995,"28,000",דיזל,אוטומט,אפורעכבר
וולוו XC60,1,2017,לאצויןמחיר,1969,"115,000",בנזין,אוטומט,לבןמטאלי
שברולט טראקס,1,2018,"84,900₪",1364,"52,000",בנזין,אוטומט,לבןפנינה
רנו מגאן דור 3 (2009-2017),2,2013,"17,000₪",1461,"295,000",דיזל,אוטומט,כחולכהה
ב.מ.וו X3,2,2019,"230,000₪",1998,"14,300",בנזין,אוטומט,לבן
סוזוקי סוויפט,1,2018,לאצויןמחיר,1242,"56,000",בנזין,ידנית,אפורמטאלי
ב.מ.וו סדרה 2,1,2021,"239,000₪",1499,"5,500",בנזין,אוטומט,לבן
פיג'ו 5008,2,2011,"16,000₪",1598,"123,000",בנזין,אוטומט,אפורמטאלי
רנו קליאו דור 3 (2006-2014),3,2013,"13,000₪",1149,"152,000",בנזין,ידנית,לבן
סוזוקי ג'ימני,5,2008,"43,000₪",1328,"163,000",בנזין,אוטומט,סגולחציל
יונדאי סנטה פה,4,2010,"60,000₪",2199,"168,000",דיזל,אוטומט,לבן
אלפא רומיאו ג'ולייטה,2,2017,"93,000₪",1368,"82,500",בנזין,אוטומט,שחור
פיאט 500,3,2015,"26,500₪",1242,"100,000",בנזין,dualogic,טורקיז
קיה סורנטו,3,2012,"66,000₪",2199,"190,000",דיזל,אוטומט,שחור
סקודה אוקטביה,3,2015,"53,000₪",1197,"130,000",בנזין,אוטומט,אפורעכבר
טויוטה C-HR,2,2020,"149,500₪",1798,"26,000",בנזין,אוטומט,אפורמטאלי
מרצדס GLC-Class קופה,1,2021,"463,000₪",1991,"32,000",היברידיחשמל/בנזין,אוטומט,שחורמטאלי
רנו מגאן גראנד קופה,2,2018,"70,000₪",1461,"119,000",דיזל,אוטומט,לבןפנינה
פולקסווגן פולו,2,2008,"14,000₪",1390,"324,000",בנזין,אוטומט,שחור
סיאט לאון,1,2015,"105,000₪",1798,"66,000",בנזין,אוטומט,כחולמטאלי
ג'יפ / Jeep רנגלר ארוך,1,2021,לאצויןמחיר,1995,,בנזין,אוטומט,שחורמטאלי
אאודי Q3,3,2017,"209,900₪",2480,"82,000",בנזין,אוטומט,שחורמטאלי
ניסאן מיקרה,1,2017,"27,000₪",1198,"122,000",בנזין,ידנית,לבן
מיני קופר,1,2021,"235,000₪",1998,12,בנזין,אוטומט,אדום
ב.מ.וו סדרה 5,3,2014,"149,900₪",2979,"157,000",בנזין,אוטומט,לבןפנינה
אינפיניטי Q50,1,2016,לאצויןמחיר,1991,"82,500",בנזין,אוטומט,אפורמטאלי
ג'יפ / Jeep רנגלר ארוך,0,2022,לאצויןמחיר,3604,,בנזין,אוטומט,אפורמטאלי
קיה פיקנטו,3,2016,"42,900₪",1248,"108,000",בנזין,אוטומט,לבן
קיה פיקנטו,3,2013,"19,500₪",998,"97,000",בנזין,ידנית,תכלת
רנו מגאן גראנד קופה,2,2017,"67,000₪",1461,"100,000",דיזל,אוטומט,לבןפנינה
פולקסווגן אטלס,0,2021,3500₪לחודש,1984,,בנזין,אוטומט,לבן
יונדאי טוסון,1,2021,"172,900₪",1598,1,בנזין,אוטומט,לבן
יונדאי טוסון,1,2018,"124,000₪",1999,"85,000",בנזין,אוטומט,שחור
פורד אדג' / EDGE,1,2019,"185,000₪",1999,"118,000",בנזין,אוטומט,שחורמטאלי
מאזדה CX-5,2,2015,"70,000₪",1998,"140,000",בנזין,אוטומט,כחולמטאלי
יונדאי טוסון,3,2016,"100,499₪",1999,"93,000",בנזין,אוטומט,אפורעכבר
מיצובישי אטראז',2,2014,"22,000₪",1193,"165,000",בנזין,אוטומט,טורקיז
רנו מאסטר ארוך,2,2017,לאצויןמחיר,2299,,טורבודיזל,ידנית,לבן
מרצדס GLC-Class קופה,1,2021,"463,000₪",1991,"32,000",היברידיחשמל/בנזין,אוטומט,שחורמטאלי
רנו מגאן גראנד קופה,2,2018,"70,000₪",1461,"119,000",דיזל,אוטומט,לבןפנינה
פולקסווגן פולו,2,2008,"14,000₪",1390,"324,000",בנזין,אוטומט,שחור
סיאט לאון,1,2015,"105,000₪",1798,"66,000",בנזין,אוטומט,כחולמטאלי
פיאט דובלו,2,2018,"45,000₪",1248,"111,500",דיזל,ידנית,לבן
פורד אדג' / EDGE,2,2014,לאצויןמחיר,3497,"95,000",בנזין,אוטומט,לבן
פיג'ו 107,2,2014,"15,500₪",998,"96,000",בנזין,ידנית,אפורמטאלי
קיה ספורטז',1,2014,"75,000₪",1998,"129,000",בנזין,אוטומט,שחור
ניסאן קשקאי,2,2008,"28,000₪",1997,"179,000",בנזין,אוטומט,שחורמטאלי
פורד אקספלורר,1,2017,"200,000₪",3497,"46,500",בנזין,אוטומט,לבןפנינה
רנו קליאו דור 4 (2013-2019),2,2015,"39,000₪",1197,"60,000",בנזין,אוטומט,כסףמטלי
מאזדה 5,3,2009,"22,000₪",1999,"285,000",בנזין,אוטומט,כחולמטאלי
פיאט דוקאטו קצר/בינוני,3,2010,"30,000₪",2287,"325,000",דיזל,ידנית,לבן
שברולט טראקס,3,2016,"63,000₪",1364,"88,500",בנזין,אוטומט,לבןפנינה
טויוטה היילקס ויגו 4X4,3,2014,לאצויןמחיר,2982,"120,000",דיזל,אוטומט,כסוףמטאלי
קיה ספורטז',2,2016,"93,000₪",1999,"99,500",בנזין,אוטומט,אפור
סובארו אימפרזה ניו אייג',3,2007,"6,000₪",1498,"240,000",בנזין,אוטומט,לבן
רנו קנגוהחדשה,1,2019,"97,500₪",1461,"42,000",דיזל,אוטומט,לבןמטאלי
הונדה CR-V,2,2014,לאצויןמחיר,1997,"118,000",בנזין,אוטומט,כסףמטלי
מרצדס GLC-Class קופה,0,2022,"449,000₪",1991,,היברידיחשמל/בנזין,אוטומט,לבן
ב.מ.וו סדרה 2,2,2018,לאצויןמחיר,1998,"58,000",בנזין,אוטומט,לבןפנינה
רנו מאסטר ארוך,1,2019,לאצויןמחיר,2299,"51,000",דיזל,ידנית,לבן
סיטרואן ברלינגו דור 2 (2008-2019),2,2015,"39,900₪",1560,"180,000",דיזל,ידנית,לבןמטאלי
לנד רובר דיפנדר,1,2021,"575,000₪",2997,"10,000",דיזל,אוטומט,לבןשנהב
ג'יפ / Jeep גרנד צ'ירוקי,3,2014,"174,900₪",2987,"135,000",דיזל,אוטומט,לבן
ב.מ.וו סדרה 3,2,2016,"127,900₪",1997,"96,000",בנזין,אוטומט,שחורמטאלי
יגואר XF,2,2015,"134,990₪",1999,"81,000",בנזין,אוטומט,כסףמטלי
דאצ'יה סנדרו,2,2017,"29,000₪",999,"51,000",בנזין,ידנית,כסוףמטאלי
קיה נירו הייבריד,1,2018,"80,000₪",1580,"162,000",בנזין,אוטומט,לבן
וולוו S90,2,2017,"177,000₪",1969,"150,000",בנזין,אוטומט,פלטינה
רנו קנגוהחדשה,1,2018,"74,000₪",1461,"156,000",דיזל,ידנית,לבן
אאודי Q8,1,2021,לאצויןמחיר,2967,"9,500",דיזל,אוטומט,שחור
קיה ספורטז',2,2017,"84,000₪",1591,"88,000",בנזין,אוטומט,שחור
לקסוס GS300H,1,2018,"199,000₪",2494,"76,000",בנזין,אוטומט,אפורמטאלי
ב.מ.וו X6,3,2014,"155,000₪",2993,"168,000",דיזל,אוטומט,אפורמטאלי
סובארו אימפרזה ניו אייג',3,2007,"6,000₪",1498,"240,000",בנזין,אוטומט,לבן
הונדה CR-V,2,2015,"90,000₪",1997,"70,000",בנזין,אוטומט,כחולמטאלי
יונדאי ולוסטר,3,2013,"62,500₪",1591,"142,000",בנזין,ידנית,כתום
סיאט איביזה,2,2013,"46,000₪",1197,"93,000",בנזין,אוטומט,כחול
ג'יפ / Jeep ליברטי (עד 2013),4,2008,"70,000₪",3700,"134,000",בנזין,אוטומט,כסוף
טויוטה RAV4 ארוך,2,2008,"39,000₪",1998,"210,000",בנזין,אוטומט,כחול
קרייזלר גראנד וויאג'ר,1,2015,לאצויןמחיר,3604,"60,000",בנזין,אוטומט,שחור
טויוטה C-HR,1,2017,לאצויןמחיר,1798,"82,300",בנזין,אוטומט,אפורעכבר
קיה נירו הייבריד,1,2020,"139,000₪",1580,"35,000",בנזין,אוטומט,לבן
סקודה פאביה,2,2017,"67,000₪",1197,"60,000",בנזין,אוטומט,שחור
ב.מ.וו סדרה 7,4,2007,"37,500₪",2996,"200,000",בנזין,אוטומט,כחולכהה
סקודה אוקטביה,1,2015,"44,444₪",1968,"210,140",דיזל,אוטומט,שחור
סוזוקי אלטו,3,2010,"16,999₪",996,"150,000",בנזין,אוטומט,שחורמטאלי
מיצובישי לנסר קלאסיק,3,2008,לאצויןמחיר,1584,"186,000",בנזין,אוטומט,כסוף
מאזדה 3,2,2009,"30,000₪",1598,"185,000",בנזין,אוטומט,לבן
קיה פיקנטו,1,2017,"42,000₪",1248,"72,756",בנזין,אוטומט,לבןפנינה
וולוו S60,3,2017,"79,900₪",1969,"132,500",בנזין,אוטומט,לבןמטאלי
סיאט לאון,1,2021,"155,000₪",1498,"24,500",בנזין,אוטומט,לבןפנינה
שברולט טראקס,2,2016,"62,900₪",1364,"62,000",בנזין,אוטומט,שחורמטאלי
פיאט קובו / QUBO,1,2015,"27,000₪",1248,"151,000",דיזל,ידנית,לבן
ב.מ.וו X1,1,2021,"289,900₪",1499,,היברידיחשמל/בנזין,אוטומט,לבן
ניסאן קשקאי,2,2016,"78,500₪",1197,"102,000",בנזין,אוטומט,לבןמטאלי
אאודי Q5,2,2012,לאצויןמחיר,1984,"173,000",בנזין,אוטומט,אפור
פולקסווגן פאסאט,1,2018,"126,990₪",1798,"128,000",בנזין,אוטומט,אפורמטאלי
סקודה אוקטביה,2,2014,"47,000₪",1197,"130,000",בנזין,אוטומט,חוםמטאלי
רנו קליאו דור 4 (2013-2019),2,2015,"29,900₪",1197,"168,000",בנזין,אוטומט,שחורמטאלי
סיטרואן ברלינגו דור 2 (2008-2019),2,2016,"49,000₪",1560,"178,000",דיזל,ידנית,לבןשנהב
ג'יפ / Jeep גרנד צ'ירוקי,0,2022,לאצויןמחיר,3604,,בנזין,אוטומט,שחורמטאלי
ג'יפ / Jeep גרנד צ'ירוקי,0,2021,לאצויןמחיר,3604,,בנזין,אוטומט,לבןמטאלי
איווקו דיילי החדשה,1,2018,לאצויןמחיר,2998,,טורבודיזל,אוטומט,לבן
דאצ'יה דוקר,1,2016,"33,000₪",1461,"189,000",דיזל,ידנית,כחולמטאלי
ב.מ.וו סדרה 4,0,2021,"435,000₪",1998,,בנזין,אוטומט,לבןפנינה
יונדאי i10,1,2017,"59,900₪",1248,"39,650",בנזין,אוטומט,אפורמטאלי
מיצובישי אאוטלנדר,1,2016,לאצויןמחיר,1998,"106,000",בנזין,אוטומט,לבןפנינה
מיצובישי אאוטלנדר,2,2017,"99,000₪",1998,"157,000",בנזין,אוטומט,כסוףמטאלי
מיצובישי לנסר קלאסיק,3,2008,לאצויןמחיר,1584,"186,000",בנזין,אוטומט,כסוף
מאזדה 3,2,2009,"30,000₪",1598,"185,000",בנזין,אוטומט,לבן
